Cantonese,English
sing kei,week
nin ,year
gam tin,today
ming tin,tomorrow
zok tin,yesterday
miu,second
siu si,hour
fan zung,minute
dim,o'clock
si zung,clock
jung,use
nang,can
zou,do
heoi,go
siu,laugh
jyun,far
sai,small
hou,good
mei lai,beautiful
cau,ugly
naan,difficult
jung ji,easy
waai,bad
kan,near
nei hou,hello
zou san,good morning
ng on,good afternoon
maan on,good evening
zou tau,good night
nei hou maa,how are you
do ze,thank you
hou sik,delicious
zoi gin,goodbye
sing kei jat (tone 1),monday
sing kei ji,tuesday
sing kei saam,wednesday
sing kei sei,thursday
sing kei ng,friday
sing kei luk,saturday
sing kei jat (tone 5),sunday
jat jyut,january
ji jyut,february
saam jyut,march
sei jyut,april
ng jyut,may
luk jyut,june
cat jyut,july
baat jyut,august
gau jyut,september
sap jyut,october
sap jat jyut,november
sap ji jyut,december
ling,zero
gaa fe,coffee
be zau,beer
caa,tea
hung zau,wine
seoi,water
ngau juk,beef
zyu juk,pork
gai juk,chicken
joeng juk,lamb
jyu,fish
geok,foot
tau,head
sau bei,arm
sau,hand
sau zi,finger
san tai,body
tou,stomach
bui zek,back
wu si,nurse
jyun gong,employee
ging caat,police officer
cyu si,cook
gung cing si,engineer
ji sang,doctor
ging lei,manager
gaau si,teacher
m goi ,please
gei do cin,how much is it?
m goi maai daan,"check, please"
pang jau,friend
mou je,nothing
do di,more
gang hai,of course
ngo ming baak,I understand
ngo m ming,I don't understand
ji sang,doctor
ngo dong sat lou,I'm lost
zo bin,left
jau bin,right
hoi sam,happy
gaai,street
fei gei,plane
saam gaa,hanger
zik si,immediately
sing wai,become
mou leun,no matter what
bong sau,help
nang gau,be capable of
gei noi,how long
git gwo,result; finally
lau haa,downstairs
wing jyun,forever
daai seng,loud
duk syu,study
zou caan,breakfast
baa si,bus
hou siu,seldom; rarely
pou tung,ordinary; normal
bei coi,competition
cin min,in front of
hau min,behind
fuk mou,service
