,Cantonese,English
0,sing kei,week
1,nin ,year
2,gam tin,today
3,ming tin,tomorrow
4,zok tin,yesterday
5,miu,second
6,siu si,hour
7,fan zung,minute
8,dim,o'clock
9,si zung,clock
10,jung,use
11,nang,can
12,zou,do
13,heoi,go
14,siu,laugh
15,jyun,far
16,sai,small
17,hou,good
18,mei lai,beautiful
19,cau,ugly
20,naan,difficult
21,jung ji,easy
22,waai,bad
23,kan,near
24,nei hou,hello
25,zou san,good morning
26,ng on,good afternoon
27,maan on,good evening
28,zou tau,good night
29,nei hou maa,how are you
30,do ze,thank you
31,hou sik,delicious
32,zoi gin,goodbye
33,sing kei jat (tone 1),monday
34,sing kei ji,tuesday
35,sing kei saam,wednesday
36,sing kei sei,thursday
37,sing kei luk,saturday
38,sing kei jat (tone 5),sunday
39,jat jyut,january
40,ji jyut,february
41,saam jyut,march
42,sei jyut,april
43,ng jyut,may
44,luk jyut,june
45,cat jyut,july
46,baat jyut,august
47,gau jyut,september
48,sap jyut,october
49,sap jat jyut,november
50,sap ji jyut,december
51,ling,zero
52,gaa fe,coffee
53,be zau,beer
54,caa,tea
55,hung zau,wine
56,seoi,water
57,ngau juk,beef
58,zyu juk,pork
59,gai juk,chicken
60,joeng juk,lamb
61,jyu,fish
62,geok,foot
63,tau,head
64,sau bei,arm
65,sau,hand
66,sau zi,finger
67,san tai,body
68,tou,stomach
69,bui zek,back
70,wu si,nurse
71,jyun gong,employee
72,ging caat,police officer
73,cyu si,cook
74,gung cing si,engineer
75,ji sang,doctor
76,ging lei,manager
77,gaau si,teacher
78,m goi ,please
79,m goi maai daan,"check, please"
80,pang jau,friend
81,mou je,nothing
82,do di,more
83,gang hai,of course
84,ngo m ming,I don't understand
85,ji sang,doctor
86,ngo dong sat lou,I'm lost
87,zo bin,left
88,jau bin,right
89,hoi sam,happy
90,gaai,street
91,fei gei,plane
92,saam gaa,hanger
93,zik si,immediately
94,sing wai,become
95,mou leun,no matter what
96,bong sau,help
97,nang gau,be capable of
98,gei noi,how long
99,git gwo,result; finally
100,lau haa,downstairs
101,wing jyun,forever
102,daai seng,loud
103,duk syu,study
104,zou caan,breakfast
105,baa si,bus
106,hou siu,seldom; rarely
107,pou tung,ordinary; normal
108,bei coi,competition
109,cin min,in front of
110,hau min,behind
111,fuk mou,service
